 Support Controller design:   FEAS_CHK: Valid, YALMIP: Numerical problems (MOSEK).
 Vertex: 4 of 8, step 3 of 55, FEAS_CHK: Valid, YALMIP: Numerical problems (MOSEK).
 Vertex: 4 of 8, step 4 of 55, FEAS_CHK: Valid, YALMIP: Numerical problems (MOSEK).
 Vertex: 4 of 8, step 5 of 55, FEAS_CHK: Valid, YALMIP: Numerical problems (MOSEK).
 Vertex: 4 of 8, step 6 of 55, FEAS_CHK: Valid, YALMIP: Numerical problems (MOSEK).
 Vertex: 4 of 8, step 7 of 55, FEAS_CHK: Valid, YALMIP: Numerical problems (MOSEK).
 Vertex: 4 of 8, step 8 of 55, FEAS_CHK: Valid, YALMIP: Numerical problems (MOSEK).
 Vertex: 4 of 8, step 9 of 55, FEAS_CHK: Valid, YALMIP: Numerical problems (MOSEK).
 Vertex: 4 of 8, step 10 of 55, FEAS_CHK: Valid, YALMIP: Numerical problems (MOSEK).
 Vertex: 4 of 8, step 11 of 55, FEAS_CHK: Valid, YALMIP: Numerical problems (MOSEK).
 Vertex: 4 of 8, step 12 of 55, FEAS_CHK: Valid, YALMIP: Numerical problems (MOSEK).
 Vertex: 4 of 8, step 13 of 55, FEAS_CHK: Valid, YALMIP: Numerical problems (MOSEK).
 Vertex: 4 of 8, step 14 of 55, FEAS_CHK: Valid, YALMIP: Numerical problems (MOSEK).
 Vertex: 4 of 8, step 15 of 55, FEAS_CHK: Valid, YALMIP: Numerical problems (MOSEK).
 Vertex: 4 of 8, step 16 of 55, FEAS_CHK: Valid, YALMIP: Numerical problems (MOSEK).
 Vertex: 4 of 8, step 17 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 4 of 8, step 18 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 4 of 8, step 19 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
 Vertex: 4 of 8, step 20 of 55, FEAS_CHK: Valid, YALMIP: Successfully solved (MOSEK).
